Username,Comment,vader_sentiment
@videosladvd7823,Next time an interview of justin bieber,1
@Basketball-channel0,do it with lucyfier,1
@mohamedzaitouni-ek8vj,the best things you doing now,1
@user-rp4ql9yt9b,what english accent do they have?,1
@PedroFerroo,Do you are Brazilian?,1
@ukatinhodoacai,esse cara é br né?,1
@zeroualifatimazahra8715,"The strange thing is that I understand you very well, plus the presenter, unlike the guest. in addition that he speaks fastly his words aren't clear enough  or so it seemed to me.   why in ur opinion ?! Thanks for ur help.",1
@dawrantlepov6974,Hey,1
@MrSelfie-ev,Oho,1
@dineshpavi249,"Hey guys, i want to have a native english speaker friend to improve my english i am from India, does anyone willing to help me?",1
@theinminhtwe2539,I can't hear the sound,1
@erikpalacios9869,"I think that would be interesting a lesson about a  RedPill podcast and all related vocabulary as Mgtow, Chad , Tyron, Simp, mangina, etc.",1
@maedehsh9277,Hi where is the videos of friends?,1
@AjaySivaram-by8vl,Elton musk and Elton John and the,1
@AdemY-ky4sk,go out a business =can we say get out a busness,1
@joviniciusjovc,"se o thiago não for brasileiro, i am a door :p",1
@usefulness1,I started to teach english . I hope you 'll like my method of doing it .,1
@user-liberty2023,头痛，发晕,1
@Leonhard_Euler99,Looks like I wasn't here for a long time. What happened to Ethan?,1
@viniciusmarques156,"I watched this video for 10 minutes and I can understand practically 98% of this video, but there is a problem with all the words I don't know and I keep trying to translate or understand them, which is why it takes me a long time to finish a video in English and I end up giving up. finish the video because I want to understand all the words",1
@ap0999,1221,1
@lolakholmuradova1065,Pretty woman,1
@macaco_supremacy,se é brasileiro kkkk,1
@Spacecraft9996,Just deleted the app! Never download it again! Until the monitor be fair.,1
@Cjk1134,"I need someone for to pratice inglish with me, who wants to be pratice with me?",1
@Faisal_ahmed1r,Go out of business,1
@youtuber890tggf,Because this chanel i can speak arabic language..,1
